hosted_image,label
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8060_img-0302/img-0302.jpeg,0
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8065_im-0030/im-0030.jpeg,0
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75e0_img304-0101-625/img304-0101-625.jpeg,1
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75cc_img278-0101-572/img278-0101-572.jpeg,1
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75cb_img834-im1002-2747/img834-im1002-2747.jpeg,1
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8060_im-0013/im-0013.jpeg,0
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad805d_im-0043/im-0043.jpeg,0
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75c6_img326-0101-672/img326-0101-672.jpeg,1
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8063_img-0317/img-0317.jpeg,0
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8061_im-0050/im-0050.jpeg,0
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75c4_img363-0101-742/img363-0101-742.jpeg,1
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75df_img277-im1002-1303/img277-im1002-1303.jpeg,1
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8061_im-0086/im-0086.jpeg,0
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75c5_img132-0101-266/img132-0101-266.jpeg,1
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75c8_img278-0101-573/img278-0101-573.jpeg,1
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad805f_im-0011-0001-0002/im-0011-0001-0002.jpeg,0
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad808c_img-im-0927-0001/img-im-0927-0001.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8090_img-im-1127-0001/img-im-1127-0001.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8064_img-0278/img-0278.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75cd_img341-im1002-1577/img341-im1002-1577.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75c9_img441-im1002-1912/img441-im1002-1912.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8091_img-im-1204-0001/img-im-1204-0001.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8064_im-0041/im-0041.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75cc_img383-im1002-1749/img383-im1002-1749.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75de_img544-0101-1076/img544-0101-1076.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75d1_img947-0101-1618/img947-0101-1618.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8062_im-00-m01-33-0001/im-00-m01-33-0001.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75d9_img1051-im1002-2985/img1051-im1002-2985.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8080_img-im-0578-0001/img-im-0578-0001.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8089_img-im-0925-0001/img-im-0925-0001.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75e1_img357-im1002-1640/img357-im1002-1640.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad75c9_img712-0101-1310/img712-0101-1310.jpeg,
https://s3.amazonaws.com/video.udacity-data.com/topher/2019/April/5cad8065_im-im1002-01/im-im1002-01.jpeg,
